task_name,input_file_name,city
Singhu,singhu.mp3,DELHI
Maidangarhi,maidangarhi.mp3,DELHI
Rohini Sector 27,rohini_sector_27.mp3,DELHI
Dwarka Sector 26,dwarka_sector_26.mp3,DELHI
Mundka,mundka.mp3,DELHI
Rohini Sector-37,rohini_sector-37.mp3,DELHI
Alipur,alipur.mp3,DELHI
Deenpur,deenpur.mp3,DELHI
Rohini Sector 29,rohini_sector_29.mp3,DELHI
Tilangpur Kotla,tilangpur_kotla.mp3,DELHI
Bawana,bawana.mp3,DELHI
Kanjhawala,kanjhawala.mp3,DELHI
Rohini Sector 32,rohini_sector_32.mp3,DELHI
Rohini Sector 30,rohini_sector_30.mp3,DELHI
Karala,karala.mp3,DELHI
Najafgarh,najafgarh.mp3,DELHI
Rohini Sector 34,rohini_sector_34.mp3,DELHI
Khera Kalan,khera_kalan.mp3,DELHI
Satbari,satbari.mp3,DELHI
Chaman Vihar,chaman_vihar.mp3,DELHI
Bakhtawarpur,bakhtawarpur.mp3,DELHI
Bakkar Wala,bakkar_wala.mp3,DELHI
Dwarka Sector 28,dwarka_sector_28.mp3,DELHI
Dera Mandi,dera_mandi.mp3,DELHI
Sawda,sawda.mp3,DELHI
Fatehpur Beri,fatehpur_beri.mp3,DELHI
Loknayakpuram,loknayakpuram.mp3,DELHI
Dhaula Kuan,dhaula_kuan.mp3,DELHI
Rohini Sector 35,rohini_sector_35.mp3,DELHI
Haibutpur,haibutpur.mp3,DELHI
Rohini Sector-36,rohini_sector-36.mp3,DELHI
Kair,kair.mp3,DELHI
West End Colony,west_end_colony.mp3,DELHI
Sultanpur,sultanpur.mp3,DELHI
Shiv Nagar,shiv_nagar.mp3,DELHI
Akbarpur Majra,akbarpur_majra.mp3,DELHI
Village Mandoli,village_mandoli.mp3,DELHI
AIIMS,aiims.mp3,DELHI
Vinod Nagar West,vinod_nagar_west.mp3,DELHI
Ansari Nagar East,ansari_nagar_east.mp3,DELHI
Badarpur,badarpur.mp3,DELHI
Tagore Garden Extension,tagore_garden_extension.mp3,DELHI
Swasthya Vihar,swasthya_vihar.mp3,DELHI
Ashram,ashram.mp3,DELHI
Tilak Marg,tilak_marg.mp3,DELHI
Arjun Nagar,arjun_nagar.mp3,DELHI
Vijay Nagar,vijay_nagar.mp3,DELHI
Vaishali,vaishali.mp3,DELHI
Akshar Dham,akshar_dham.mp3,DELHI
Uday Park,uday_park.mp3,DELHI
Vijay Vihar,vijay_vihar.mp3,DELHI
Panchsheel Enclave,panchsheel_enclave.mp3,DELHI
Lakshmi Bai Nagar,lakshmi_bai_nagar.mp3,DELHI
Lal Kuan,lal_kuan.mp3,DELHI
L Zone,l_zone.mp3,DELHI
Kalindi Kunj,kalindi_kunj.mp3,DELHI
Dwarka Sector 19B,dwarka_sector_19b.mp3,DELHI
Lawrence Road,lawrence_road.mp3,DELHI
Lodi Road,lodi_road.mp3,DELHI
Khanpur,khanpur.mp3,DELHI
Mayur Vihar Phase 1 Extension,mayur_vihar_phase_1_extension.mp3,DELHI
Dummy,dummy.mp3,DELHI
Dwarka Mor,dwarka_mor.mp3,DELHI
Mandi Hills,mandi_hills.mp3,DELHI
Jhuljhuli,jhuljhuli.mp3,DELHI
Janakpuri,janakpuri.mp3,DELHI
G T B Nagar,g_t_b_nagar.mp3,DELHI
